AppelKey,Libelle_code_appel,Code_appel,Held,Raccroche_agent,Interruptdel,Numero_compose
233,answered,2.0,2.0,1.0,0.0,2796539.0
234,answered,2.0,2.0,1.0,0.0,2788677.0
235,answered,2.0,2.0,0.0,0.0,2788642.0
236,answered,2.0,2.0,0.0,0.0,2788587.0
237,answered,2.0,2.0,0.0,0.0,2796506.0
238,answered,2.0,2.0,1.0,0.0,2796013.0
239,answered,2.0,2.0,1.0,0.0,2796675.0
240,answered,2.0,2.0,0.0,0.0,2796671.0
241,answered,2.0,2.0,1.0,0.0,2788638.0
242,answered,2.0,2.0,1.0,0.0,2788674.0
243,answered,2.0,2.0,1.0,0.0,2796535.0
244,answered,2.0,2.0,1.0,0.0,2788612.0
245,answered,2.0,2.0,1.0,0.0,2796601.0
246,answered,2.0,2.0,1.0,0.0,2796606.0
247,answered,2.0,1.0,0.0,0.0,2796707.0
248,answered,2.0,1.0,0.0,0.0,2796713.0
249,answered,2.0,1.0,0.0,0.0,2796601.0
250,answered,2.0,1.0,1.0,0.0,2796601.0
251,answered,2.0,1.0,1.0,0.0,2796708.0
252,answered,2.0,1.0,0.0,0.0,2796598.0
253,answered,2.0,1.0,1.0,0.0,2796596.0
254,answered,2.0,1.0,0.0,0.0,2796711.0
255,answered,2.0,1.0,1.0,0.0,2796713.0
256,answered,2.0,1.0,1.0,0.0,2796707.0
257,answered,2.0,1.0,0.0,0.0,2796596.0
258,answered,2.0,1.0,0.0,0.0,2796719.0
259,answered,2.0,1.0,1.0,0.0,2796715.0
260,answered,2.0,1.0,1.0,0.0,2796597.0
261,answered,2.0,1.0,1.0,0.0,2796716.0
262,answered,2.0,1.0,0.0,0.0,2796705.0
263,answered,2.0,1.0,1.0,0.0,2796711.0
264,answered,2.0,1.0,0.0,0.0,2796708.0
265,answered,2.0,1.0,1.0,0.0,2796606.0
266,answered,2.0,1.0,0.0,0.0,2796606.0
267,answered,2.0,1.0,0.0,0.0,2796597.0
268,answered,2.0,1.0,1.0,0.0,2796605.0
269,answered,2.0,1.0,1.0,0.0,2796719.0
270,answered,2.0,1.0,1.0,0.0,2796600.0
271,answered,2.0,1.0,0.0,0.0,2796600.0
272,answered,2.0,1.0,0.0,0.0,2796586.0
273,answered,2.0,1.0,1.0,0.0,2796586.0
274,answered,2.0,1.0,1.0,0.0,2788685.0
275,answered,2.0,1.0,1.0,0.0,2796624.0
276,answered,2.0,1.0,1.0,0.0,2796550.0
277,answered,2.0,1.0,1.0,0.0,2788574.0
278,answered,2.0,1.0,1.0,0.0,2796008.0
279,answered,2.0,1.0,1.0,0.0,2788620.0
280,answered,2.0,1.0,1.0,0.0,2796698.0
281,answered,2.0,1.0,1.0,0.0,2788622.0
282,answered,2.0,1.0,1.0,0.0,2796613.0
283,answered,2.0,1.0,1.0,0.0,2788674.0
284,answered,2.0,1.0,1.0,0.0,2788653.0
285,answered,2.0,1.0,1.0,0.0,2796618.0
286,answered,2.0,1.0,1.0,0.0,2788661.0
287,answered,2.0,1.0,1.0,0.0,2796671.0
288,answered,2.0,1.0,1.0,0.0,2788638.0
289,answered,2.0,1.0,1.0,0.0,2788623.0
290,answered,2.0,1.0,1.0,0.0,2788603.0
291,answered,2.0,1.0,1.0,0.0,2788608.0
292,answered,2.0,1.0,1.0,0.0,2788582.0
293,answered,2.0,1.0,1.0,0.0,2788691.0
294,answered,2.0,1.0,1.0,0.0,2796670.0
295,answered,2.0,1.0,1.0,0.0,2788675.0
296,answered,2.0,1.0,1.0,0.0,2788658.0
297,answered,2.0,1.0,1.0,0.0,2788654.0
298,answered,2.0,1.0,1.0,0.0,2788666.0
299,answered,2.0,1.0,1.0,0.0,2788624.0
300,answered,2.0,1.0,1.0,0.0,2796560.0
301,answered,2.0,1.0,1.0,0.0,2796020.0
302,answered,2.0,1.0,1.0,0.0,2788698.0
303,answered,2.0,1.0,1.0,0.0,2788621.0
304,answered,2.0,1.0,0.0,0.0,2788619.0
305,answered,2.0,1.0,0.0,0.0,2788587.0
306,answered,2.0,1.0,0.0,0.0,2788670.0
307,answered,2.0,1.0,0.0,0.0,2788576.0
308,answered,2.0,1.0,0.0,0.0,2788666.0
309,answered,2.0,1.0,0.0,0.0,2796618.0
310,answered,2.0,1.0,0.0,0.0,2788664.0
311,answered,2.0,1.0,0.0,0.0,2796676.0
312,answered,2.0,1.0,0.0,0.0,2788643.0
313,answered,2.0,1.0,0.0,0.0,2788668.0
314,answered,2.0,1.0,0.0,0.0,2788689.0
315,answered,2.0,1.0,0.0,0.0,2788675.0
316,answered,2.0,1.0,0.0,0.0,2796558.0
317,answered,2.0,1.0,0.0,0.0,2788679.0
318,answered,2.0,1.0,0.0,0.0,2796615.0
319,answered,2.0,1.0,0.0,0.0,2788638.0
320,answered,2.0,1.0,0.0,0.0,2788654.0
321,answered,2.0,1.0,1.0,0.0,2788642.0
322,answered,2.0,1.0,1.0,0.0,2788628.0
323,answered,2.0,1.0,1.0,0.0,2788688.0
324,answered,2.0,1.0,0.0,0.0,2796560.0
325,answered,2.0,1.0,1.0,0.0,2788696.0
326,answered,2.0,1.0,1.0,0.0,2796006.0
327,answered,2.0,1.0,1.0,0.0,2788645.0
328,answered,2.0,1.0,1.0,0.0,2796633.0
329,answered,2.0,1.0,1.0,0.0,2788673.0
330,answered,2.0,1.0,0.0,0.0,2788648.0
331,answered,2.0,1.0,0.0,0.0,2788637.0
332,answered,2.0,1.0,0.0,0.0,2788623.0
333,answered,2.0,1.0,1.0,0.0,2788641.0
334,answered,2.0,1.0,1.0,0.0,2788615.0
335,answered,2.0,1.0,0.0,0.0,2796006.0
336,answered,2.0,1.0,1.0,0.0,2788677.0
337,answered,2.0,1.0,0.0,0.0,2788671.0
338,answered,2.0,1.0,1.0,0.0,2796010.0
339,answered,2.0,1.0,0.0,0.0,2796013.0
340,answered,2.0,1.0,1.0,0.0,2796024.0
341,answered,2.0,1.0,1.0,0.0,2796615.0
342,answered,2.0,1.0,1.0,0.0,2796011.0
343,answered,2.0,1.0,0.0,0.0,2796022.0
344,answered,2.0,1.0,1.0,0.0,2788604.0
345,answered,2.0,1.0,0.0,0.0,2796671.0
346,answered,2.0,1.0,1.0,0.0,2788648.0
347,answered,2.0,1.0,1.0,0.0,2788670.0
348,answered,2.0,1.0,1.0,0.0,2788590.0
349,answered,2.0,1.0,1.0,0.0,2788618.0
350,answered,2.0,1.0,0.0,0.0,2796503.0
351,answered,2.0,1.0,1.0,0.0,2796009.0
352,answered,2.0,1.0,1.0,0.0,2788619.0
353,answered,2.0,1.0,1.0,0.0,2788660.0
354,answered,2.0,1.0,1.0,0.0,2796551.0
355,answered,2.0,1.0,1.0,0.0,2796017.0
356,answered,2.0,1.0,1.0,0.0,2788671.0
357,answered,2.0,1.0,1.0,0.0,2788576.0
358,answered,2.0,1.0,1.0,0.0,2788656.0
359,answered,2.0,1.0,1.0,0.0,2788681.0
360,answered,2.0,1.0,1.0,0.0,2788583.0
361,answered,2.0,1.0,0.0,0.0,2796008.0
362,answered,2.0,1.0,0.0,0.0,2796003.0
363,answered,2.0,1.0,0.0,0.0,2796610.0
364,answered,2.0,1.0,0.0,0.0,2796619.0
365,answered,2.0,1.0,0.0,0.0,2796633.0
366,answered,2.0,1.0,1.0,0.0,2796591.0
367,answered,2.0,1.0,1.0,0.0,2796556.0
368,answered,2.0,1.0,0.0,0.0,2796551.0
369,answered,2.0,1.0,0.0,0.0,2796010.0
370,answered,2.0,1.0,0.0,0.0,2788659.0
371,answered,2.0,1.0,1.0,0.0,2796559.0
372,answered,2.0,1.0,1.0,0.0,2788616.0
373,answered,2.0,1.0,0.0,0.0,2796012.0
374,answered,2.0,1.0,0.0,0.0,2796681.0
375,answered,2.0,1.0,0.0,0.0,2796000.0
376,answered,2.0,1.0,1.0,0.0,2796000.0
377,answered,2.0,1.0,1.0,0.0,2796549.0
378,answered,2.0,1.0,1.0,0.0,2796701.0
379,answered,2.0,1.0,0.0,0.0,2796514.0
380,answered,2.0,1.0,0.0,0.0,2796504.0
381,answered,2.0,1.0,1.0,0.0,2796503.0
382,answered,2.0,1.0,0.0,0.0,2796670.0
383,answered,2.0,1.0,0.0,0.0,2796569.0
384,answered,2.0,1.0,0.0,0.0,2788621.0
385,answered,2.0,1.0,0.0,0.0,2796509.0
386,answered,2.0,1.0,0.0,0.0,2788604.0
387,answered,2.0,1.0,0.0,0.0,2788681.0
388,answered,2.0,1.0,0.0,0.0,2796513.0
389,answered,2.0,1.0,0.0,0.0,2788603.0
390,answered,2.0,1.0,0.0,0.0,2788584.0
391,answered,2.0,1.0,0.0,0.0,2796584.0
392,answered,2.0,1.0,0.0,0.0,2788574.0
393,answered,2.0,1.0,0.0,0.0,2796675.0
394,answered,2.0,1.0,0.0,0.0,2796015.0
395,answered,2.0,1.0,0.0,0.0,2796502.0
396,answered,2.0,1.0,0.0,0.0,2796543.0
397,answered,2.0,1.0,0.0,0.0,2788693.0
398,answered,2.0,1.0,0.0,0.0,2796017.0
399,answered,2.0,1.0,0.0,0.0,2796591.0
400,answered,2.0,1.0,1.0,0.0,2796543.0
401,answered,2.0,1.0,1.0,0.0,2796584.0
402,answered,2.0,1.0,1.0,0.0,2796502.0
403,answered,2.0,1.0,1.0,0.0,2796681.0
404,answered,2.0,1.0,1.0,0.0,2788585.0
405,answered,2.0,1.0,0.0,0.0,2796550.0
406,answered,2.0,1.0,1.0,0.0,2788692.0
407,answered,2.0,1.0,1.0,0.0,2788690.0
408,answered,2.0,1.0,1.0,0.0,2796574.0
409,answered,2.0,1.0,0.0,0.0,2796001.0
410,answered,2.0,1.0,1.0,0.0,2796514.0
411,answered,2.0,1.0,0.0,0.0,2796009.0
412,answered,2.0,1.0,0.0,0.0,2796018.0
413,answered,2.0,1.0,0.0,0.0,2796011.0
414,answered,2.0,1.0,0.0,0.0,2796701.0
415,answered,2.0,1.0,0.0,0.0,2788624.0
416,answered,2.0,1.0,0.0,0.0,2788695.0
417,answered,2.0,1.0,0.0,0.0,2788620.0
418,answered,2.0,1.0,0.0,0.0,2796585.0
419,answered,2.0,1.0,0.0,0.0,2788615.0
420,answered,2.0,1.0,0.0,0.0,2796506.0
421,answered,2.0,1.0,1.0,0.0,2788643.0
422,answered,2.0,1.0,0.0,0.0,2796004.0
423,answered,2.0,1.0,0.0,0.0,2796655.0
424,answered,2.0,1.0,0.0,0.0,2788678.0
425,answered,2.0,1.0,0.0,0.0,2796024.0
426,answered,2.0,1.0,0.0,0.0,2788677.0
427,answered,2.0,1.0,0.0,0.0,2788642.0
428,answered,2.0,1.0,1.0,0.0,2788659.0
429,answered,2.0,1.0,0.0,0.0,2788582.0
430,answered,2.0,1.0,0.0,0.0,2796002.0
431,answered,2.0,1.0,0.0,0.0,2788676.0
432,answered,2.0,1.0,0.0,0.0,2788589.0
433,answered,2.0,1.0,0.0,0.0,2788646.0
434,answered,2.0,1.0,0.0,0.0,2788611.0
435,answered,2.0,1.0,0.0,0.0,2788690.0
436,answered,2.0,1.0,1.0,0.0,2788600.0
437,answered,2.0,1.0,0.0,0.0,2788650.0
438,answered,2.0,1.0,0.0,0.0,2788588.0
439,answered,2.0,1.0,0.0,0.0,2788685.0
440,answered,2.0,1.0,0.0,0.0,2788687.0
441,answered,2.0,1.0,0.0,0.0,2788673.0
442,answered,2.0,1.0,1.0,0.0,2796569.0
443,answered,2.0,1.0,0.0,0.0,2788653.0
444,answered,2.0,1.0,0.0,0.0,2788644.0
445,answered,2.0,1.0,0.0,0.0,2796594.0
446,answered,2.0,1.0,0.0,0.0,2788680.0
447,answered,2.0,1.0,0.0,0.0,2788625.0
448,answered,2.0,1.0,0.0,0.0,2796621.0
449,answered,2.0,1.0,0.0,0.0,2788657.0
450,answered,2.0,1.0,1.0,0.0,2788588.0
451,answered,2.0,1.0,1.0,0.0,2796504.0
452,answered,2.0,1.0,1.0,0.0,2788617.0
453,answered,2.0,1.0,0.0,0.0,2788609.0
454,answered,2.0,1.0,1.0,0.0,2796594.0
455,answered,2.0,1.0,0.0,0.0,2788612.0
456,answered,2.0,1.0,0.0,0.0,2796547.0
457,answered,2.0,1.0,1.0,0.0,2796621.0
458,answered,2.0,1.0,0.0,0.0,2796548.0
459,answered,2.0,1.0,0.0,0.0,2796007.0
460,answered,2.0,1.0,0.0,0.0,2788696.0
461,answered,2.0,1.0,0.0,0.0,2788622.0
462,answered,2.0,1.0,0.0,0.0,2788617.0
463,answered,2.0,1.0,0.0,0.0,2788635.0
464,answered,2.0,1.0,1.0,0.0,2796558.0
465,answered,2.0,1.0,1.0,0.0,2788634.0
466,answered,2.0,1.0,1.0,0.0,2788635.0
467,answered,2.0,1.0,1.0,0.0,2796012.0
468,answered,2.0,1.0,1.0,0.0,2788676.0
469,answered,2.0,1.0,0.0,0.0,2788606.0
470,answered,2.0,1.0,1.0,0.0,2788678.0
471,answered,2.0,1.0,1.0,0.0,2796022.0
472,answered,2.0,1.0,0.0,0.0,2788592.0
473,answered,2.0,1.0,0.0,0.0,2788655.0
474,answered,2.0,1.0,0.0,0.0,2788645.0
475,answered,2.0,1.0,0.0,0.0,2788667.0
476,answered,2.0,1.0,0.0,0.0,2788669.0
477,answered,2.0,1.0,1.0,0.0,2796610.0
478,answered,2.0,1.0,1.0,0.0,2796647.0
479,answered,2.0,1.0,0.0,0.0,2788697.0
480,answered,2.0,1.0,1.0,0.0,2796013.0
481,answered,2.0,1.0,1.0,0.0,2796675.0
482,answered,2.0,1.0,1.0,0.0,2788636.0
483,answered,2.0,1.0,1.0,0.0,2788587.0
484,answered,2.0,1.0,1.0,0.0,2796512.0
485,answered,2.0,1.0,1.0,0.0,2796548.0
486,answered,2.0,1.0,1.0,0.0,2796537.0
