VDNKey,Nom_VDN,VDN_ID,Zone_geographique
115,LH_OFS_22279,2796547.0,France
116,LH_EN_PC_ROISSY_C2,2796512.0,France
117,LH_OFL_21794,2796001.0,France
118,LH_OFS_22116,2796675.0,France
119,LH_RCWMOPC,2796589.0,France
120,LH_OFL_22001,2788674.0,France
121,LH_OFL_21985,2788669.0,France
122,LH_OFL_22045,2788684.0,France
123,LH_OFL_21877,2788641.0,France
124,LH_OFL_22029,2788679.0,France
125,LH_CL_KP_BLANCMESNIL,2796507.0,France
126,LH_OFS_22212,2796022.0,France
127,LH_CL_PC_ROISS_C2_EN,2796537.0,France
128,LH_OFL_21857,2788636.0,France
129,LH_CL_CA_ROISSY_EN,2796526.0,France
130,LH_OFL_22093,2788698.0,France
131,LH_OFS_22277,2796689.0,France
132,LH_OFL_21776,2788607.0,France
133,LH_OFL_22332,2788582.0,France
134,LH_OFL_21878,2788642.0,France
135,LH_EN_KY_BLANCMES_C2,2796516.0,France
136,LH_CL_CA_BLNCM_C2_EN,2796539.0,France
137,LH_OFL_22021,2788677.0,France
138,LH_OFL_23393,2788587.0,France
139,LH_OFL_21860,2788638.0,France
140,LH_OFS_22281,2710357.0,France
141,LH_CL_GT_ROISS_C2_EN,2796535.0,France
142,LH_MULTI_UK_2,2796601.0,Europe
143,GT_SPAIN,2796708.0,Europe
144,LH_MULTI_IT_2,2796598.0,Europe
145,GT_INDIA_CH1,2710411.0,International
146,GT_USA_CH1,2710420.0,International
147,GT_ROMANIA_CH1,2710416.0,Europe
148,LH_MULTI_DE,2796597.0,Europe
149,GT_RUSSIA_CH1,2710417.0,Europe
150,GT_UA_EMIRATES,2796705.0,International
151,GT_ITALY,2796605.0,Europe
152,LH_OFL_22049,2788685.0,France
153,LH_OFL_22181,2796624.0,France
154,LH_OFS_22109,2710344.0,France
155,LH_OFL_21813,2788622.0,France
156,LH_OFS_22292,2710352.0,France
157,LH_OFL_21914,2788653.0,France
158,LH_OFL_21934,2788661.0,France
159,LH_OFL_21963,2788664.0,France
160,LH_OFS_22124,2796676.0,France
161,LH_OFL_22258,2796558.0,France
162,LH_OFL_22088,2788696.0,France
163,LH_OFL_21749,2788604.0,France
164,LH_OFL_22368,2788583.0,France
165,LH_OFL_22186,2796556.0,France
166,LH_OFL_21789,2796000.0,France
167,LH_OFL_22212,2796701.0,France
168,LH_OFS_22127,2796015.0,France
169,LH_OFL_22466,2788585.0,France
170,LH_OFL_22065,2788692.0,France
171,LH_OFL_22063,2788690.0,France
172,LH_OFS_22177,2796018.0,France
173,LH_RCWMOCA,2796585.0,France
174,LH_OFS_22239,2710309.0,France
175,LH_OFL_21806,2796002.0,France
176,LH_OFL_22019,2788676.0,France
177,LH_OFL_21785,2788611.0,France
178,LH_RCPPCKY,2796594.0,France
179,LH_OFL_22030,2788680.0,France
180,LH_OFL_21823,2788625.0,France
181,LH_OFL_21942,2796007.0,France
182,LH_OFL_21855,2788635.0,France
183,LH_OFL_21764,2788606.0,France
184,LH_OFL_21916,2788655.0,France
185,LH_OFL_21975,2788667.0,France
186,LH_OFL_21743,2788601.0,France
187,LH_RCGOOCA,2796578.0,France
188,LH_OFS_22221,2796023.0,France
189,LH_OFL_22037,2788682.0,France
190,LH_MULTI_FR_C1,2710299.0,France
191,LH_OFL_22271,2788578.0,France
192,LH_PARTENARIATS,2796564.0,France
193,LH_OFL_21946,2788662.0,France
194,LH_SALARIES,2796571.0,France
195,LH_OFL_22097,2788699.0,France
196,LH_OFL_21897,2788647.0,France
197,LH_OFL_21788,2788614.0,France
198,LH_EN_CA_VILLEPIN_C2,2796511.0,France
199,LH_OFL_21835,2788629.0,France
200,LH_PC_0006_C1,2710304.0,France
201,LH_OFS_22251,2788591.0,France
202,LH_OFL_21828,2788626.0,France
203,LH_OFL_21912,2788652.0,France
204,LH_OFL_21906,2796005.0,France
205,LH_OFL_22279,2796546.0,France
206,LH_PC_0103_C1,2710316.0,France
207,LH_OFS_22248,2796684.0,France
208,LH_OFL_22124,2788572.0,France
209,LH_CL_CA_ROISS_C2_EN,2796534.0,France
210,LH_RCPPCMPC,2796561.0,France
211,LH_MULTI_FR,2796635.0,France
212,LH_RCPPCCA,2796593.0,France
213,LH_OFS_22163,2796545.0,France
214,LH_OFL_22188,2788575.0,France
215,LH_OFS_22271_C1,2710375.0,France
216,LH_OFL_22266,2788577.0,France
217,GT_UK_CHOIX_1,2710419.0,Europe
218,GT_INDONESIA_CH1,2710412.0,International
219,LH_RCPPCMCA,2796562.0,France
220,LH_OFL_21850,2788633.0,France
221,LH_PC_0044_C1,2710312.0,France
222,LH_OFL_22119,2796554.0,France
223,GT_CANADA_CH1,2710409.0,International
224,LH_OFS_22228,2710305.0,France
225,LH_OFS_22186,2796557.0,France
226,LH_RCTRADV,2796575.0,France
227,LH_OFS_22180,2796622.0,France
228,GT_MORROCCO,2796703.0,International
229,GT_SAUDI_ARABIA,2796704.0,International
230,LH_SPORTIFS,2796567.0,France
231,LH_OFS_22162,2796682.0,France
232,LH_PC_0176_C1,2710313.0,France
233,LH_PC_0080_C1,2710318.0,France
234,LH_EN_GT_ROISSY_C2,2796510.0,France
